dataset_resized_final/C1 - 0wOwmB_180.jpg,168,186,459,363,pig: 66.0
dataset_resized_final/C2 - 1liSID_10560.jpg,166,141,465,365,pig: 97.5
dataset_resized_final/C6 - 0OTJ7I_4260.jpg,167,200,435,371,pig: 95.5
dataset_resized_final/C3 - 1k7OMy_0.jpg,178,208,408,359,pig: 52.0
dataset_resized_final/C8 - 0tL4HN_10620.jpg,167,186,457,385,pig: 87.0
dataset_resized_final/C11 - VAB4F_5400.jpg,166,159,450,347,pig: 90.0
dataset_resized_final/C12 - LPKb3_7560.jpg,164,207,454,399,pig: 86.0
dataset_resized_final/C11 - tgRJD_2520.jpg,167,187,444,371,pig: 93.5
dataset_resized_final/C7 - 1mn5qZ_5940.jpg,162,129,443,359,pig: 83.5
dataset_resized_final/C8 - 0LEuRg_10980.jpg,176,181,343,363,pig: 29.0
dataset_resized_final/C11 - gYPlZ_4440.jpg,168,138,459,334,pig: 77.0
dataset_resized_final/C5 - 2nPKIw_6720.jpg,235,270,427,377,pig: 33.0
dataset_resized_final/C10 - DTjCn_8820.jpg,168,127,451,376,pig: 84.5
dataset_resized_final/C7 - 2N9cJN_8940.jpg,165,182,447,375,pig: 99.0
dataset_resized_final/C2 - 2rdg70_2100.jpg,166,175,402,331,pig: 77.5
dataset_resized_final/C2 - 3NnQ9y_1920.jpg,165,161,470,366,pig: 103.0
dataset_resized_final/C12 - qMQEg_3780.jpg,180,178,420,342,pig: 69.5
dataset_resized_final/C4 - 04DQeX_8520.jpg,167,204,411,356,pig: 65.5
dataset_resized_final/C11 - tgRJD_2820.jpg,166,184,450,379,pig: 94.0
dataset_resized_final/C5 - 1g0roJ_9060.jpg,167,137,423,381,pig: 75.0
dataset_resized_final/C3 - 2gctwC_6120.jpg,231,155,457,395,pig: 52.0
dataset_resized_final/C10 - IzQRO_1980.jpg,163,162,487,372,pig: 103.5
dataset_resized_final/C10 - ZUzcM_7320.jpg,220,192,422,381,pig: 48.0
dataset_resized_final/C6 - 0OTJ7I_540.jpg,166,120,447,369,pig: 119.5
dataset_resized_final/C7 - 1mn5qZ_6780.jpg,171,133,464,353,pig: 95.5
dataset_resized_final/C2 - 3NnQ9y_2880.jpg,169,131,476,392,pig: 92.5
dataset_resized_final/C9 - 2UN0x7_7860.jpg,205,139,480,369,pig: 75.0
dataset_resized_final/C7 - 17tCeS_5880.jpg,167,199,324,400,pig: 69.0
dataset_resized_final/C3 - 10ng2o_7320.jpg,167,164,424,378,pig: 55.5
dataset_resized_final/C2 - 1liSID_9600.jpg,164,137,487,383,pig: 97.5
dataset_resized_final/C5 - 0Nj5r3_9720.jpg,167,242,354,387,pig: 42.0
dataset_resized_final/C4 - 0glPZf_3000.jpg,168,179,448,372,pig: 99.5
dataset_resized_final/C11 - Id8w2_1620.jpg,167,146,453,325,pig: 95.0
dataset_resized_final/C2 - 1LG7QA_2280.jpg,167,153,438,379,pig: 71.5
dataset_resized_final/C7 - 2x3x0I_4440.jpg,192,168,462,390,pig: 67.5
dataset_resized_final/C9 - 0UFuUk_6360.jpg,167,160,426,364,pig: 57.5
dataset_resized_final/C5 - 0MWNA8_5460.jpg,167,189,399,376,pig: 89.0
dataset_resized_final/C1 - 2p4ONT_3300.jpg,273,170,455,330,pig: 34.5
dataset_resized_final/C11 - zKCtM_10380.jpg,181,164,411,397,pig: 53.5
dataset_resized_final/C5 - 2mdQxF_5460.jpg,180,212,439,368,pig: 74.0
dataset_resized_final/C12 - FnKmv_5640.jpg,212,164,476,357,pig: 84.5
dataset_resized_final/C8 - 1QXSBB_7020.jpg,179,191,382,387,pig: 50.5
dataset_resized_final/C3 - 1zzSxd_8940.jpg,164,130,342,340,pig: 126.5
dataset_resized_final/C3 - 2gctwC_7260.jpg,180,168,453,326,pig: 66.5
dataset_resized_final/C10 - vXzv4_660.jpg,165,150,410,396,pig: 82.5
dataset_resized_final/C2 - 1liSID_420.jpg,163,127,452,377,pig: 127.0
dataset_resized_final/C11 - VAB4F_2220.jpg,166,175,403,370,pig: 89.5
dataset_resized_final/C9 - 1RzYmH_1320.jpg,237,190,468,354,pig: 62.0
dataset_resized_final/C8 - 1UvaJc_4380.jpg,162,130,437,345,pig: 118.5
dataset_resized_final/C11 - zKCtM_5820.jpg,179,212,419,372,pig: 66.0
dataset_resized_final/C12 - FnKmv_3060.jpg,167,195,440,388,pig: 121.0
dataset_resized_final/C11 - 38QT8_3540.jpg,169,184,426,349,pig: 71.0
dataset_resized_final/C8 - 26WiK2_1080.jpg,249,212,439,383,pig: 37.0
